regiao,semana,data,novos_casos,bandeira
15,0.0,05-02,0.0,1
15,0.1429,05-03,0.0,1
15,0.2857,05-04,1.0,1
15,0.4286,05-05,1.0,1
15,0.5714,05-06,2.0,1
15,0.7143,05-07,0.0,1
15,0.8571,05-08,5.0,1
15,1.0,05-09,0.0,1
15,1.1429,05-10,0.0,1
15,1.2857,05-11,2.0,1
15,1.4286,05-12,1.0,1
15,1.5714,05-13,1.0,1
15,1.7143,05-14,1.0,1
15,1.8571,05-15,10.0,1
15,2.0,05-16,1.0,1
15,2.1429,05-17,0.0,1
15,2.2857,05-18,1.0,1
15,2.4286,05-19,3.0,1
15,2.5714,05-20,17.0,1
15,2.7143,05-21,-5.0,1
15,2.8571,05-22,7.0,1
15,3.0,05-23,6.0,1
15,3.1429,05-24,6.0,1
15,3.2857,05-25,1.0,1
15,3.4286,05-26,1.0,1
15,3.5714,05-27,4.0,1
15,3.7143,05-28,11.0,1
15,3.8571,05-29,13.0,1
15,4.0,05-30,9.0,0
15,4.1429,05-31,4.0,0
15,4.2857,06-01,0.0,0
15,4.4286,06-02,15.0,0
15,4.5714,06-03,12.0,0
15,4.7143,06-04,19.0,0
15,4.8571,06-05,9.0,0
15,5.0,06-06,15.0,0
15,5.1429,06-07,5.0,0
15,5.2857,06-08,1.0,0
15,5.4286,06-09,4.0,0
15,5.5714,06-10,7.0,0
15,5.7143,06-11,10.0,0
15,5.8571,06-12,10.0,0
15,6.0,06-13,22.0,1
15,6.1429,06-14,1.0,1
15,6.2857,06-15,23.0,1
15,6.4286,06-16,8.0,1
15,6.5714,06-17,5.0,1
15,6.7143,06-18,29.0,1
15,6.8571,06-19,10.0,1
15,7.0,06-20,28.0,1
15,7.1429,06-21,12.0,1
15,7.2857,06-22,4.0,1
15,7.4286,06-23,52.0,1
15,7.5714,06-24,30.0,1
15,7.7143,06-25,23.0,1
15,7.8571,06-26,18.0,1
15,8.0,06-27,29.0,2
15,8.1429,06-28,14.0,2
15,8.2857,06-29,8.0,2
15,8.4286,06-30,11.0,2
15,8.5714,07-01,15.0,2
15,8.7143,07-02,13.0,2
15,8.8571,07-03,22.0,2
15,9.0,07-04,32.0,2
15,9.1429,07-05,2.0,2
15,9.2857,07-06,18.0,2
15,9.4286,07-07,28.0,2
15,9.5714,07-08,227.0,2
15,9.7143,07-09,17.0,2
15,9.8571,07-10,51.0,2
15,10.0,07-11,33.0,1
15,10.1429,07-12,36.0,1
15,10.2857,07-13,15.0,1
15,10.4286,07-14,80.0,1
15,10.5714,07-15,58.0,1
15,10.7143,07-16,43.0,1
15,10.8571,07-17,47.0,1
15,11.0,07-18,6.0,1
15,11.1429,07-19,3.0,1
15,11.2857,07-20,2.0,1
15,11.4286,07-21,47.0,1
15,11.5714,07-22,67.0,1
15,11.7143,07-23,115.0,1
15,11.8571,07-24,142.0,1
15,12.0,07-25,189.0,1
15,12.1429,07-26,34.0,1
15,12.2857,07-27,24.0,1
15,12.4286,07-28,166.0,1
15,12.5714,07-29,45.0,1
15,12.7143,07-30,117.0,1
15,12.8571,07-31,3.0,1
15,13.0,08-01,109.0,2
15,13.1429,08-02,381.0,2
15,13.2857,08-03,72.0,2
15,13.4286,08-04,139.0,2
15,13.5714,08-05,106.0,2
15,13.7143,08-06,77.0,2
15,13.8571,08-07,11.0,2
15,14.0,08-08,227.0,2
15,14.1429,08-09,16.0,2
15,14.2857,08-10,4.0,2
15,14.4286,08-11,219.0,2
15,14.5714,08-12,214.0,2
15,14.7143,08-13,80.0,2
15,14.8571,08-14,134.0,2
15,15.0,08-15,78.0,2
15,15.1429,08-16,42.0,2
15,15.2857,08-17,7.0,2
15,15.4286,08-18,123.0,2
15,15.5714,08-19,221.0,2
15,15.7143,08-20,12.0,2
15,15.8571,08-21,14.0,2
